"id","structure","reading","french","construction","example","example_reading","lesson","level","ready"
"g014","～時～分です","～じ～ふんです","Dire l’heure.","Nombre + 時 + nombre + 分 + です","今、七時半です。／ Il est maintenant sept heures et demie.","いま、ななじはんです。／ Il est maintenant sept heures et demie.","4","N5","true"
"g015","～から～まで","～から～まで","Exprimer un point de départ et une limite.","Heure/lieu + から + heure/lieu + まで","九時から五時まで働きます。／ Je travaille de 9 h à 17 h.","きゅうじからごじまではたらきます。／ Je travaille de 9 h à 17 h.","4","N5","true"
"g016","～曜日です","～ようびです","Indiquer le jour de la semaine.","Jour + 曜日 + です","休みは日曜日です。／ Le jour de repos est dimanche.","やすみはにちようひです。／ Le jour de repos est dimanche.","4","N5","true"
"g017","～時に～ます","～じに～ます","Indiquer l’heure précise d’une action.","Heure + に + verbe poli","六時に起きます。／ Je me lève à 6 h.","ろくじにおきます。／ Je me lève à 6 h.","4","N5","true"
"g018","～ます／ません／ました／ませんでした","～ます／ません／ました／ませんでした","Conjuguer un verbe au présent/futur et au passé, affirmatif ou négatif.","Base en ます + terminaison","きのう勉強しませんでした。／ Hier, je n’ai pas étudié.","きのうべんきょうしませんでした。／ Hier, je n’ai pas étudié.","4","N5","true"
"g019","＜場所＞へ行きます／来ます／帰ります","＜ばしょ＞へいきます／きます／かえります","Indiquer la destination d’un déplacement.","Lieu + へ + verbe de déplacement","京都へ行きます。／ Je vais à Kyoto.","きょうとへいきます。／ Je vais à Kyoto.","5","N5","true"
"g020","＜乗り物＞で行きます","＜のりもの＞でいきます","Indiquer le moyen de transport.","Moyen + で + verbe de déplacement","電車で行きます。／ J’y vais en train.","でんしゃでいきます。／ J’y vais en train.","5","N5","true"
"g021","＜人＞と行きます","＜ひと＞といきます","Indiquer la personne qui accompagne.","Personne + と + verbe de déplacement","家族と日本へ来ました。／ Je suis venu au Japon avec ma famille.","かぞくとにほんへきました。／ Je suis venu au Japon avec ma famille.","5","N5","true"
"g022","＜日時＞に行きます","＜にちじ＞にいきます","Indiquer la date ou l’heure d’un déplacement.","Date/heure + に + verbe de déplacement","七月二日に行きます。／ J’y vais le 2 juillet.","なながつふつかにいきます。／ J’y vais le 2 juillet.","5","N5","true"
"g023","～を～ます","～を～ます","Marquer le complément d’objet direct.","Objet + を + verbe","パンを食べます。／ Je mange du pain.","パンをたべます。／ Je mange du pain.","6","N5","true"
"g024","＜場所＞で～ます","＜ばしょ＞で～ます","Indiquer le lieu où se déroule une action.","Lieu + で + verbe","図書館で勉強します。／ J’étudie à la bibliothèque.","としょかんでべんきょうします。／ J’étudie à la bibliothèque.","6","N5","true"
"g025","いっしょに～ませんか","いっしょに～ませんか","Inviter poliment quelqu’un.","いっしょに + verbe en ませんか","いっしょに映画を見ませんか。／ Voulez-vous voir un film ensemble ?","いっしょにえいがをみませんか。／ Voulez-vous voir un film ensemble ?","6","N5","true"
"g026","～ましょう","～ましょう","Proposer de faire quelque chose ensemble.","Base en ます + ましょう","ちょっと休みましょう。／ Reposons-nous un peu.","ちょっとやすみましょう。／ Reposons-nous un peu.","6","N5","true"
"g027","～で～ます","～で～ます","Indiquer l’outil, la langue ou le moyen utilisé.","Outil/moyen + で + verbe","はしで食べます。／ Je mange avec des baguettes.","はしでたべます。／ Je mange avec des baguettes.","7","N5","true"
"g028","「～」は＜langue＞で～です","「～」は＜げんご＞で～です","Donner une traduction dans une langue.","Mot + は + langue + で + traduction + です","「ありがとう」はフランス語で「merci」です。","「ありがとう」はフランスごで「merci」です。","7","N5","true"
"g029","＜人＞に＜物＞をあげます","＜ひと＞に＜もの＞をあげます","Dire que l’on donne quelque chose à quelqu’un.","Donneur + は + personne + に + objet + を + あげます","友達に花をあげます。／ J’offre des fleurs à un ami.","ともだちにはなをあげます。／ J’offre des fleurs à un ami.","7","N5","true"
"g030","＜人＞に／から＜物＞をもらいます","＜ひと＞に／から＜もの＞をもらいます","Dire que l’on reçoit quelque chose de quelqu’un.","Receveur + は + personne + に／から + objet + を + もらいます","母に時計をもらいました。／ J’ai reçu une montre de ma mère.","ははにとけいをもらいました。／ J’ai reçu une montre de ma mère.","7","N5","true"
"g031","もう～ました／まだです","もう～ました／まだです","Dire qu’une action est déjà faite ou pas encore.","もう + passé／まだです","もう昼ご飯を食べました。／ J’ai déjà déjeuné.","もうひるごはんをたべました。／ J’ai déjà déjeuné.","7","N5","true"
"g032","～は＜な形容詞＞です","～は＜なけいようし＞です","Décrire avec un adjectif en な.","Nom + は + adjectif-na + です","奈良は静かです。／ Nara est calme.","ならはしずかです。／ Nara est calme.","8","N5","true"
"g033","～は＜い形容詞＞です","～は＜いけいようし＞です","Décrire avec un adjectif en い.","Nom + は + adjectif-i + です","富士山は高いです。／ Le mont Fuji est haut.","ふじやまはたかいです。／ Le mont Fuji est haut.","8","N5","true"
"g034","＜な形容詞＞な＜名詞＞","＜なけいようし＞な＜めいし＞","Placer un adjectif en な devant un nom.","Adjectif-na + な + nom","奈良は静かな町です。／ Nara est une ville calme.","ならはしずかなまちです。／ Nara est une ville calme.","8","N5","true"
"g035","＜い形容詞＞＜名詞＞","＜いけいようし＞＜めいし＞","Placer un adjectif en い devant un nom.","Adjectif-i + nom","これは新しい本です。／ C’est un nouveau livre.","これはあたらしいほんです。／ C’est un nouveau livre.","8","N5","true"
"g036","あまり～ません","あまり～ません","Exprimer un faible degré dans une phrase négative.","あまり + forme négative","この本はあまりおもしろくないです。／ Ce livre n’est pas très intéressant.","このほんはあまりおもしろくないです。／ Ce livre n’est pas très intéressant.","8","N5","true"
"g037","～は～が好きです／嫌いです","～は～がすきです／きらいです","Exprimer ses goûts.","Thème + は + objet + が + 好き／嫌いです","わたしは音楽が好きです。／ J’aime la musique.","わたしはおんがくがすきです。／ J’aime la musique.","9","N5","true"
"g038","～は～が上手です／下手です","～は～がじょうずです／へたです","Exprimer l’habileté ou la maladresse.","Thème + は + activité + が + 上手／下手です","マリアさんは料理が上手です。／ Maria cuisine bien.","マリアさんはりょうりがじょうずです。／ Maria cuisine bien.","9","N5","true"
"g039","～がわかります","～がわかります","Dire que l’on comprend quelque chose.","Objet compris + が + わかります","日本語が少しわかります。／ Je comprends un peu le japonais.","にほんごがすこしわかります。／ Je comprends un peu le japonais.","9","N5","true"
"g040","～があります","～があります","Dire que l’on possède ou que l’on a quelque chose.","Objet + が + あります","時間があります。／ J’ai du temps.","じかんがあります。／ J’ai du temps.","9","N5","true"
"g041","～から、～","～から、～","Donner une raison avec « parce que ».","Cause + から、conséquence","時間がありませんから、新聞を読みません。／ Je ne lis pas le journal car je n’ai pas le temps.","じかんがありませんから、しんぶんをよみません。／ Je ne lis pas le journal car je n’ai pas le temps.","9","N5","true"
"g042","～に～がいます","～に～がいます","Indiquer l’existence d’un être animé dans un lieu.","Lieu + に + personne/animal + が + います","教室に学生がいます。／ Il y a des étudiants dans la classe.","きょうしつにがくせいがいます。／ Il y a des étudiants dans la classe.","10","N5","true"
"g043","～に～があります","～に～があります","Indiquer l’existence d’une chose dans un lieu.","Lieu + に + chose + が + あります","机の上に本があります。／ Il y a un livre sur le bureau.","つくえのうえにほんがあります。／ Il y a un livre sur le bureau.","10","N5","true"
"g044","～は～にいます／あります","～は～にいます／あります","Localiser une personne, un animal ou une chose.","Sujet + は + lieu + に + います／あります","先生は事務所にいます。／ Le professeur est au bureau.","せんせいはじむしょにいます。／ Le professeur est au bureau.","10","N5","true"
"g045","助数詞","じょすうし","Compter avec le classificateur adapté à l’objet.","Nombre + classificateur","りんごを三つ買いました。／ J’ai acheté trois pommes.","りんごをみっつかいました。／ J’ai acheté trois pommes.","11","N5","true"
"g046","＜期間＞～ます","＜きかん＞～ます","Indiquer la durée d’une action, sans particule に.","Durée + verbe","日本語を二年勉強しました。／ J’ai étudié le japonais pendant deux ans.","にほんごをにねんべんきょうしました。／ J’ai étudié le japonais pendant deux ans.","11","N5","true"
"g047","＜期間＞に＜回数＞～ます","＜きかん＞に＜かいすう＞～ます","Exprimer une fréquence pendant une période.","Période + に + fréquence + verbe","一週間に二回テニスをします。／ Je joue au tennis deux fois par semaine.","いちしゅうかんににかいテニスをします。／ Je joue au tennis deux fois par semaine.","11","N5","true"
"g048","～から～までかかります","～から～までかかります","Exprimer la durée nécessaire d’un trajet ou d’une action.","Départ + から + arrivée + まで + durée + かかります","東京から大阪まで三時間かかります。","とうきょうからおおさかまでさんじかんかかります。","11","N5","true"
"g049","＜な形容詞／名詞＞でした","＜なけいようし／めいし＞でした","Former le passé d’un nom ou d’un adjectif en な.","Nom/adjectif-na + でした／じゃありませんでした","きのうは雨でした。／ Hier, il pleuvait.","きのうはあめでした。／ Hier, il pleuvait.","12","N5","true"
"g050","＜い形容詞＞かったです","＜いけいようし＞かったです","Former le passé d’un adjectif en い.","Retirer い + かったです","旅行は楽しかったです。／ Le voyage était agréable.","りょこうはたのしかったです。／ Le voyage était agréable.","12","N5","true"
"g051","～は～より＜形容詞＞です","～は～より＜けいようし＞です","Comparer deux éléments.","A + は + B + より + adjectif + です","電車はバスより速いです。／ Le train est plus rapide que le bus.","でんしゃはバスよりはやいです。／ Le train est plus rapide que le bus.","12","N5","true"
"g052","～と～とどちらが～ですか","～と～とどちらが～ですか","Demander lequel de deux éléments possède davantage une qualité.","A + と + B + と + どちらが + adjectif + ですか","サッカーと野球とどちらが好きですか。","サッカーとやきゅうとどちらがすきですか。","12","N5","true"
"g053","～の中で～がいちばん～です","～のなかで～がいちばん～です","Exprimer le superlatif dans un ensemble.","Ensemble + の中で + élément + が + いちばん + adjectif","日本料理の中ですしがいちばん好きです。","にほんりょうりのなかですしがいちばんすきです。","12","N5","true"
"g054","～がほしいです","～がほしいです","Exprimer le désir de posséder quelque chose.","Objet + が + ほしいです","新しい車がほしいです。／ Je veux une nouvelle voiture.","あたらしいくるまがほしいです。／ Je veux une nouvelle voiture.","13","N5","true"
"g055","～たいです","～たいです","Exprimer le désir de faire une action.","Base en ます + たいです","日本へ行きたいです。／ Je veux aller au Japon.","にほんへいきたいです。／ Je veux aller au Japon.","13","N5","true"
"g056","～に行きます／来ます","～にいきます／きます","Exprimer le but d’un déplacement.","Lieu + へ + base en ます/nom + に + 行きます／来ます","買い物に行きます。／ Je vais faire des achats.","かいものにいきます。／ Je vais faire des achats.","13","N5","true"
"g057","＜て形＞ください","＜てけい＞ください","Demander poliment à quelqu’un de faire quelque chose.","Verbe en て + ください","ここに名前を書いてください。／ Écrivez votre nom ici, s’il vous plaît.","ここになまえをかいてください。／ Écrivez votre nom ici, s’il vous plaît.","14","N5","true"
"g058","～ましょうか","～ましょうか","Proposer son aide.","Base en ます + ましょうか","荷物を持ちましょうか。／ Voulez-vous que je porte vos bagages ?","にもつをもちましょうか。／ Voulez-vous que je porte vos bagages ?","14","N5","true"
"g059","＜て形＞います","＜てけい＞います","Exprimer une action en cours.","Verbe en て + います","今、雨が降っています。／ Il pleut maintenant.","いま、あめがふっています。／ Il pleut maintenant.","14","N5","true"
"g060","＜て形＞もいいです","＜てけい＞もいいです","Exprimer une permission.","Verbe en て + もいいです","ここで写真を撮ってもいいです。／ On peut prendre des photos ici.","ここでしゃしんをとってもいいです。／ On peut prendre des photos ici.","15","N5","true"
"g061","＜て形＞はいけません","＜てけい＞はいけません","Exprimer une interdiction.","Verbe en て + はいけません","ここでたばこを吸ってはいけません。／ Il est interdit de fumer ici.","ここでたばこをすってはいけません。／ Il est interdit de fumer ici.","15","N5","true"
"g062","＜て形＞います（état）","＜てけい＞います","Exprimer un état durable, une situation ou une profession.","Verbe en て + います","大阪に住んでいます。／ J’habite à Osaka.","おおさかにすんでいます。／ J’habite à Osaka.","15","N5","true"
"g063","＜て形＞、＜て形＞、～","＜てけい＞、＜てけい＞、～","Enchaîner plusieurs actions dans l’ordre.","Verbe en て、verbe en て、dernier verbe","朝起きて、顔を洗って、朝ご飯を食べます。","あさおきて、かおをあらって、あさごはんをたべます。","16","N5","true"
"g064","＜て形＞から、～","＜てけい＞から、～","Dire qu’une action a lieu après une autre.","Verbe en て + から、action suivante","仕事が終わってから、飲みに行きます。","しごとがおわってから、のみにいきます。","16","N5","true"
"g065","～は～が～","～は～が～","Décrire une partie ou une caractéristique d’un thème.","Thème + は + partie + が + adjectif","大阪は食べ物がおいしいです。／ À Osaka, la nourriture est bonne.","おおさかはたべものがおいしいです。／ À Osaka, la nourriture est bonne.","16","N5","true"
"g066","＜形容詞／名詞＞で、～","＜けいようし／めいし＞で、～","Relier des descriptions ou des états.","Adjectif-i en くて／adjectif-na ou nom + で","この部屋は広くて、明るいです。","このへやはひろくて、あかるいです。","16","N5","true"
"g067","＜ない形＞ないでください","＜ないけい＞ないでください","Demander de ne pas faire quelque chose.","Verbe en ない + ないでください","ここで写真を撮らないでください。","ここでしゃしんをとらないでください。","17","N5","true"
"g068","＜ない形＞なければなりません","＜ないけい＞なければなりません","Exprimer une obligation.","Verbe sans ない + なければなりません","薬を飲まなければなりません。／ Je dois prendre le médicament.","くすりをのまなければなりません。／ Je dois prendre le médicament.","17","N5","true"
"g069","＜ない形＞なくてもいいです","＜ないけい＞なくてもいいです","Exprimer l’absence d’obligation.","Verbe sans ない + なくてもいいです","あした来なくてもいいです。／ Vous n’êtes pas obligé de venir demain.","あしたこなくてもいいです。／ Vous n’êtes pas obligé de venir demain.","17","N5","true"
"g070","～は（mise en relief）","～は","Mettre en relief le complément d’objet avec は.","Objet + は + verbe","お酒は飲みません。／ Quant à l’alcool, je n’en bois pas.","おさけはのみません。／ Quant à l’alcool, je n’en bois pas.","17","N5","true"
"g071","～ことができます","～ことができます","Exprimer une capacité ou une possibilité.","Verbe dictionnaire + ことができます","漢字を読むことができます。／ Je peux lire les kanji.","かんじをよむことができます。／ Je peux lire les kanji.","18","N5","true"
"g072","趣味は～ことです","しゅみは～ことです","Présenter une activité comme passe-temps.","趣味は + verbe dictionnaire + ことです","趣味は写真を撮ることです。","しゅみはしゃしんをとることです。","18","N5","true"
"g073","～まえに、～","～まえに、～","Indiquer qu’une action précède une autre.","Verbe dictionnaire／nom + の／durée + まえに","寝るまえに、本を読みます。／ Je lis avant de dormir.","ねるまえに、ほんをよみます。／ Je lis avant de dormir.","18","N5","true"
"g074","＜た形＞ことがあります","＜たけい＞ことがあります","Parler d’une expérience passée.","Verbe en た + ことがあります","日本へ行ったことがあります。／ Je suis déjà allé au Japon.","にほんへいったことがあります。／ Je suis déjà allé au Japon.","19","N5","true"
"g075","＜た形＞り、＜た形＞りします","＜たけい＞り、＜たけい＞りします","Donner une liste non exhaustive d’actions.","Verbe en た + り、verbe en た + りします","日曜日は本を読んだり、映画を見たりします。","にちようひはほんをよんだり、えいがをみたりします。","19","N5","true"
"g076","～く／に なります","～く／に なります","Exprimer un changement d’état.","Adjectif-i en く／adjectif-na ou nom + に + なります","寒くなりました。／ Il a commencé à faire froid.","さむくなりました。／ Il a commencé à faire froid.","19","N5","true"
"g077","普通体","ふつうたい","Employer le style neutre avec les proches ou dans un contexte informel.","Verbe/adjectif/nom à la forme neutre","あした東京へ行く。／ Demain, je vais à Tokyo.","あしたとうきょうへいく。／ Demain, je vais à Tokyo.","20","N5","true"
"g078","～けど、～","～けど、～","Relier deux idées avec « mais » dans un registre courant.","Phrase neutre + けど + phrase","おいしいけど、高い。／ C’est bon, mais cher.","おいしいけど、たかい。／ C’est bon, mais cher.","20","N5","true"
"g079","＜普通形＞と思います","＜ふつうけい＞とおもいます","Exprimer une opinion ou une supposition.","Forme neutre + と + 思います","あした雨が降ると思います。／ Je pense qu’il pleuvra demain.","あしたあめがふるとおもいます。／ Je pense qu’il pleuvra demain.","21","N5","true"
"g080","＜普通形＞と言います","＜ふつうけい＞といいます","Rapporter des paroles.","Forme neutre + と + 言います","田中さんは休むと言いました。／ M. Tanaka a dit qu’il serait absent.","たなかさんはやすむといいました。／ M. Tanaka a dit qu’il serait absent.","21","N5","true"
"g081","＜普通形＞でしょう？","＜ふつうけい＞でしょう？","Demander confirmation ou chercher l’accord.","Forme neutre + でしょう？","北海道は寒いでしょう？／ Hokkaido est froid, n’est-ce pas ?","ほっかいどうはさむいでしょう？／ Hokkaido est froid, n’est-ce pas ?","21","N5","true"
"g082","＜phrase＞＋＜nom＞","＜ぶん＞＋＜めいし＞","Former une proposition relative placée avant le nom.","Forme neutre + nom","これは父が撮った写真です。／ C’est une photo prise par mon père.","これはちちがとったしゃしんです。／ C’est une photo prise par mon père.","22","N5","true"
"g083","＜proposition relative＞は～です","＜かんけいせつ＞は～です","Utiliser un groupe nominal avec proposition relative comme thème.","Proposition relative + nom + は + prédicat","料理を作る人は母です。","りょうりをつくるひとはははです。","22","N5","true"
"g084","＜proposition relative＞を～","＜かんけいせつ＞を～","Utiliser un groupe nominal avec proposition relative comme objet.","Proposition relative + nom + を + verbe","昨日買った本を読みます。","きのうかったほんをよみます。","22","N5","true"
"g085","＜proposition relative＞が／を～","＜かんけいせつ＞が／を～","Exprimer un souhait ou une préférence portant sur un nom précisé.","Proposition relative + nom + が／を + prédicat","駅に近い家がほしいです。","えきにちかいいえがほしいです。","22","N5","true"
"g086","＜動詞普通形＞とき、～","＜どうしふつうけい＞とき、～","Exprimer « quand » avec un verbe.","Verbe neutre + とき","日本へ行くとき、かばんを買いました。","にほんへいくとき、かばんをかいました。","23","N5","true"
"g087","＜形容詞＞とき、～","＜けいようし＞とき、～","Exprimer « quand » avec un adjectif.","Adjectif-i + とき／adjectif-na + な + とき","暇なとき、本を読みます。","ひまなとき、ほんをよみます。","23","N5","true"
"g088","＜名詞＞のとき、～","＜めいし＞のとき、～","Exprimer « quand » avec un nom.","Nom + の + とき","子どものとき、よく泳ぎました。","こどものとき、よくおよぎました。","23","N5","true"
"g089","＜辞書形＞と、～","＜じしょけい＞と、～","Exprimer une conséquence automatique ou habituelle.","Verbe dictionnaire + と + conséquence","このボタンを押すと、ドアが開きます。","このボタンをおすと、ドアがひらきます。","23","N5","true"
"g090","～をくれます","～をくれます","Dire que quelqu’un donne quelque chose au locuteur ou à son groupe.","Personne + が + objet + を + くれます","友達が本をくれました。／ Un ami m’a donné un livre.","ともだちがほんをくれました。／ Un ami m’a donné un livre.","24","N5","true"
"g091","＜て形＞あげます","＜てけい＞あげます","Dire que l’on fait une action pour quelqu’un.","Verbe en て + あげます","弟に漢字を教えてあげました。","おとうとにかんじをおしえてあげました。","24","N5","true"
"g092","＜て形＞もらいます","＜てけい＞もらいます","Dire que l’on bénéficie d’une action faite par quelqu’un.","Personne + に + verbe en て + もらいます","先生に日本語を教えてもらいました。","せんせいににほんごをおしえてもらいました。","24","N5","true"
"g093","＜て形＞くれます","＜てけい＞くれます","Dire que quelqu’un fait une action pour le locuteur.","Personne + が + verbe en て + くれます","母が料理を作ってくれました。","ははがりょうりをつくってくれました。","24","N5","true"
"g094","＜普通形過去＞ら、～","＜ふつうけいかこ＞ら、～","Exprimer une condition hypothétique avec « si ».","Forme passée neutre + ら","時間があったら、旅行します。／ Si j’ai le temps, je voyagerai.","じかんがあったら、りょこうします。／ Si j’ai le temps, je voyagerai.","25","N5","true"
"g095","＜た形＞ら、～","＜たけい＞ら、～","Exprimer qu’une action suivra quand la première sera accomplie.","Verbe en た + ら","駅に着いたら、電話してください。","えきについたら、でんわしてください。","25","N5","true"
"g096","＜て形＞も、～","＜てけい＞も、～","Exprimer une concession : « même si ».","Verbe en て + も／adjectif-i en くても／nom ou adjectif-na + でも","雨が降っても、出かけます。／ Même s’il pleut, je sortirai.","あめがふっても、でかけます。／ Même s’il pleut, je sortirai.","25","N5","true"
"g097","～んです","～んです","Expliquer une situation, demander une explication ou insister sur le contexte.","Forme neutre + んです／nom et adjectif-na + なんです","どうしたんですか。／ Que se passe-t-il ?","どうしたんですか。／ Que se passe-t-il ?","26","N4","true"
"g098","～んですが、～ていただけませんか","～んですが、～ていただけませんか","Introduire poliment une demande en donnant le contexte.","Forme neutre + んですが + verbe en て + いただけませんか","日本語で手紙を書いたんですが、見ていただけませんか。","にほんごでてがみをかいたんですが、みていただけませんか。","26","N4","true"
"g099","～んですが、～たらいいですか","～んですが、～たらいいですか","Demander un conseil sur ce qu’il convient de faire.","Forme neutre + んですが + interrogatif + forme en た + らいいですか","駅へ行きたいんですが、どう行ったらいいですか。","えきへいきたいんですが、どういったらいいですか。","26","N4","true"
"g100","可能動詞","かのうどうし","Exprimer la capacité ou la possibilité de faire une action.","Verbe à la forme potentielle","わたしは日本語が話せます。／ Je peux parler japonais.","わたしはにほんごがはなせます。／ Je peux parler japonais.","27","N4","true"
"g101","～が見えます／聞こえます","～がみえます／きこえます","Dire que quelque chose est spontanément visible ou audible.","Nom + が + 見えます／聞こえます","窓から山が見えます。／ On voit la montagne depuis la fenêtre.","まどからやまがみえます。／ On voit la montagne depuis la fenêtre.","27","N4","true"
"g102","～ができます","～ができます","Dire qu’une installation ou une création apparaît ou est achevée.","Nom + が + できます","駅の前に新しい店ができました。","えきのまえにあたらしいみせができました。","27","N4","true"
"g103","～しか～ません","～しか～ません","Exprimer « seulement » avec une nuance restrictive.","Nom/quantité + しか + verbe négatif","千円しかありません。／ Je n’ai que 1 000 yens.","せんえんしかありません。／ Je n’ai que 1 000 yens.","27","N4","true"
"g104","～は～、～は～","～は～、～は～","Mettre deux éléments en contraste.","Élément A + は + prédicat、élément B + は + prédicat","ひらがなは書けますが、漢字は書けません。","ひらがなはかけますが、かんじはかけません。","27","N4","true"
"g105","～には／～では","～には／～では","Combiner une particule avec は pour marquer le thème ou le contraste.","Nom + particule + は","この町には大学がありません。","このまちにはだいがくがありません。","27","N4","true"
"g106","～ながら","～ながら","Exprimer deux actions simultanées réalisées par le même sujet.","Base en ます + ながら + action principale","音楽を聞きながら勉強します。","おんがくをききながらべんきょうします。","28","N4","true"
"g107","～ています（habitude）","～ています","Exprimer une habitude ou une activité régulière.","Verbe en て + います","毎朝ジョギングをしています。","まいあさジョギングをしています。","28","N4","true"
"g108","～し、～し","～し、～し","Énumérer plusieurs raisons ou qualités.","Forme neutre + し + forme neutre + し","この店は安いし、おいしいし、よく行きます。","このみせはやすいし、おいしいし、よくいきます。","28","N4","true"
"g109","～が～ています","～が～ています","Décrire l’état résultant d’un changement avec un verbe intransitif.","Nom + が + verbe intransitif en て + います","窓が開いています。／ La fenêtre est ouverte.","まどがひらいています。／ La fenêtre est ouverte.","29","N4","true"
"g110","～は～ています","～は～ています","Prendre comme thème un objet dans un état résultant.","Nom + は + verbe intransitif en て + います","このいすは壊れています。","このいすはこわれています。","29","N4","true"
"g111","～てしまいます","～てしまいます","Exprimer l’achèvement total d’une action.","Verbe en て + しまいます","宿題を全部してしまいました。","しゅくだいをぜんぶしてしまいました。","29","N4","true"
"g112","～てしまいました（regret）","～てしまいました","Exprimer qu’une action regrettable ou accidentelle s’est produite.","Verbe en て + しまいました","財布をなくしてしまいました。／ J’ai malheureusement perdu mon portefeuille.","さいふをなくしてしまいました。／ J’ai malheureusement perdu mon portefeuille.","29","N4","true"
"g113","～てあります","～てあります","Décrire le résultat d’une action volontaire effectuée en préparation.","Objet + が + verbe transitif en て + あります","壁に地図が貼ってあります。","かべにちずがはってあります。","30","N4","true"
"g114","～ておきます（préparation）","～ておきます","Faire quelque chose à l’avance en vue d’un objectif.","Verbe en て + おきます","旅行の前に切符を買っておきます。","りょこうのまえにきっぷをかっておきます。","30","N4","true"
"g115","～ておきます（maintien）","～ておきます","Laisser une situation telle quelle ou prendre une mesure temporaire.","Verbe en て + おきます","まだ使いますから、そのままにしておいてください。","まだつかいますから、そのままにしておいてください。","30","N4","true"
"g116","意向形","いこうけい","Exprimer sa volonté ou proposer une action dans un registre courant.","Verbe à la forme volitive ～（よ）う","ちょっと休もう。／ Reposons-nous un peu.","ちょっとやすもう。／ Reposons-nous un peu.","31","N4","true"
"g117","～ようと思っています","～ようとおもっています","Exprimer une intention déjà réfléchie.","Forme volitive + と + 思っています","来年、日本へ行こうと思っています。","らいねん、にほんへいこうとおもっています。","31","N4","true"
"g118","まだ～ていません","まだ～ていません","Dire qu’une action prévue n’a pas encore été accomplie.","まだ + verbe en て + いません","まだ昼ご飯を食べていません。","まだひるごはんをたべていません。","31","N4","true"
"g119","～つもりです","～つもりです","Exprimer une intention ferme.","Verbe dictionnaire ou forme en ない + つもりです","大学を卒業したら、帰国するつもりです。","だいがくをそつぎょうしたら、きこくするつもりです。","31","N4","true"
"g120","～予定です","～よていです","Exprimer un programme ou un projet planifié.","Verbe dictionnaire／nom + の + 予定です","会議は三時に始まる予定です。","かいぎはさんじにはじまるよていです。","31","N4","true"
"g121","～ほうがいいです","～ほうがいいです","Donner un conseil positif ou négatif.","Forme en た／forme en ない + ほうがいいです","毎日運動したほうがいいです。","まいにちうんどうしたほうがいいです。","32","N4","true"
